Sample,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640
B34,58.00832033281333,57.774310972438904,58.008320332813334,58.00832033281332,0.0,58.008320332813334,0.0,58.008320332813334,58.008320332813334,51.89807592303693,56.645865834634236,37.62350494019762,0.0,0.0,0.0,0.0,0.25165539954931615,8.782956775117578,7.265012751901977,29.73947343109676,31.15877702149563,0.0,0.0,0.0,58.00832033281333,0.0,25.404864577719174,0.0,0.0,38.373114924597004,0.0,0.0,433.53477613472415,0.0,0.0,267.52816779337843,107.73810694136546
C3,67.34649122807014,66.71052631578944,67.34649122807016,66.84210526315783,0.0,67.34649122807016,0.0,67.34649122807016,66.94298245614033,66.9736842105263,67.06578947368345,56.228070175438575,0.0,0.0,0.0,0.0,0.024970760233918185,7.389937728393696,17.899870164914613,32.25858906621629,31.369886863492752,0.0,0.0,0.0,67.34649122807016,0.0,25.652131858573924,0.0,0.0,16.033114035087724,0.0,0.0,469.3805403576449,0.0,0.0,296.0553322408588,219.4126992197594
D34,68.16679379608442,68.1667937960844,68.1667937960844,68.1667937960844,0.0,68.16679379608442,0.0,68.16679379608442,68.16679379608442,67.45486905669972,68.47698957538661,65.29366895499619,0.0,0.0,0.0,0.0,0.0,4.495325831580456,12.720750229105642,21.309544792326566,24.027252741563156,0.0,0.0,0.0,68.16679379608442,0.0,17.894075613478922,0.0,0.0,15.408085430968724,0.0,0.0,412.3299326693463,0.0,0.0,237.708446841742,187.13551537496755
E34,65.87457566553508,65.1420403787743,65.87457566553508,65.33857423619789,0.0,65.87457566553508,0.0,65.87457566553509,65.44577452206536,64.85617294979451,65.81561550830673,64.516705377881,0.0,0.0,0.0,0.0,0.0,7.748002003870807,19.246846132167825,25.666431988369535,30.350360281253,0.0,0.0,0.0,65.87457566553508,0.0,24.31892269325323,0.0,0.0,15.693943183848498,0.0,0.0,451.96408609674324,0.0,0.0,285.7556723545647,210.070593120032
F34,60.483870967741936,60.36168132942326,60.48387096774194,60.48387096774193,0.0,60.48387096774194,0.0,60.48387096774195,60.48387096774196,60.28836754643207,61.05571847507131,59.995112414467265,0.0,0.0,0.0,0.0,0.0,8.233296718902968,18.921086421038417,30.1946284357838,31.659815419666796,0.0,0.0,0.0,60.48387096774195,0.0,26.3063565700953,0.0,0.0,20.75586510263928,0.0,0.0,403.6369468030372,0.0,0.0,292.66816203509757,220.57320153822528
G12,54.69862363550072,54.10536307546275,54.69862363550071,54.6986236355007,0.0,54.69862363550072,0.0,54.698623635500724,54.69862363550074,54.62743236829616,54.48504983388593,54.43758898908401,0.0,0.0,0.0,0.0,0.0,9.552165789296671,20.817477302042917,20.37957300243924,29.70550276854409,0.0,0.0,0.0,54.698623635500724,0.0,24.518041708212632,0.0,0.0,10.093972472710018,0.0,0.0,422.618727569845,0.0,0.0,269.1596125161029,175.7818043028727
G3,58.342022940563105,57.03858185610012,58.34202294056311,57.03858185610012,0.0,58.342022940563105,0.0,58.34202294056312,57.29927007299275,58.34202294056311,57.95620437956063,58.34202294056312,0.0,0.0,0.0,0.0,0.0,10.003771816583997,22.154446076338356,19.076751790510787,31.60104422170942,0.0,0.0,0.0,58.34202294056312,0.0,25.820459793086616,0.0,0.0,8.30498516082458,0.0,0.0,478.4343796155021,0.0,0.0,288.04483837330594,191.33386304784946
H34,44.873294346978504,44.873294346978504,44.87329434697851,44.8732943469785,0.0,44.87329434697851,0.0,44.873294346978504,44.87329434697852,44.87329434697851,43.543859649121984,44.87329434697851,0.0,0.0,0.0,0.0,0.0,7.768964162150253,17.271778249597112,16.90807671265624,24.512011261634736,0.0,0.0,0.0,44.873294346978504,0.0,20.19557488512463,0.0,0.0,7.144639376218323,0.0,0.0,360.68664933209004,0.0,0.0,220.2888888888889,148.57218067142074
I34,39.247943595769684,39.247943595769684,39.247943595769684,39.24794359576968,0.0,39.247943595769684,0.0,39.24794359576969,39.2479435957697,39.247943595769684,38.55464159811935,39.24794359576969,0.0,0.0,0.0,0.0,0.0,6.844654271429732,15.187462203930755,13.32278755476735,21.900005509566167,0.0,0.0,0.0,39.24794359576969,0.0,17.94896135935188,0.0,0.0,5.139835487661576,0.0,0.0,339.6707506565628,0.0,0.0,195.98413631022345,136.14624421092455
J12,25.28987778125979,24.819805703541203,25.289877781259786,24.819805703541196,0.0,25.28987778125979,0.0,25.28987778125979,24.913820119084928,25.28987778125979,24.75399561266033,25.28987778125979,0.0,0.0,0.0,0.0,0.0,3.8740952886770916,9.274615074153743,11.129797676055919,13.417935332482564,0.0,0.0,0.0,25.28987778125979,0.0,11.08600214006881,0.0,0.0,5.85239736759637,0.0,0.0,188.23488103426575,0.0,0.0,122.91721508409074,87.5955550645543
J34,38.13319619439453,37.46464386731816,38.13319619439453,37.593211622525146,0.0,38.13319619439453,0.0,38.133196194394536,37.701208536899045,38.13319619439453,37.3129339161733,38.00462843918754,0.0,0.0,0.0,0.0,0.0,6.381960664214194,14.288552757876733,15.073131494808399,20.409914226144835,0.0,0.0,0.0,38.133196194394536,0.0,16.793688191946462,0.0,0.0,6.848032913345346,0.0,0.0,295.7650222029198,0.0,0.0,185.50274583991543,125.70500017646677
K12,11.82175622542592,11.82175622542592,11.821756225425922,11.821756225425917,0.0,11.821756225425922,0.0,12.162516382699842,11.821756225425926,11.821756225425922,11.774574049803125,11.821756225425922,0.0,0.0,0.0,0.0,0.0,1.9803915568777117,4.479367006416126,5.220996262951364,6.60258233008377,0.0,0.0,0.0,11.821756225425922,0.0,5.44175622459159,0.0,0.0,3.516382699868931,0.0,0.0,92.76973701996961,0.0,0.0,58.80873743993005,40.094657730744586
